지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
146,전주,1982,13.1,-12.3,19820129,34,19820808,8.3,18.9,1016.8,934.2,51.3,19820506,70.6,2233.8,50.4,5007.19,1.3,320,1110.5,595.1
146,전주,1983,13,-11.6,19831230,35.7,19830805,8.5,18.5,1017,1194.2,127.8,19830620,74.1,2228.9,50.11,4840.09,1.3,140,1068.8,572.9
146,전주,1984,12.6,-13.8,19840207,36,19840810,7.8,18.1,1017.4,1497.1,167.3,19840902,72.7,2251,50.49,4797.72,1.5,160,1119,656.7
146,전주,1985,12.8,-14.9,19850130,35.1,19850728,8.3,18,1016.8,1732,106.9,19850707,72.9,1961.5,44.1,4538.41,1.5,160,1060,602.5
146,전주,1986,12.1,-13.3,19860106,35.5,19860801,7.7,17.6,1016.8,1305.9,114.6,19860624,72.7,2153.1,48.41,4537.3,1.4,140,1023.5,561.6
146,전주,1987,12.9,-10.4,19870114,32.9,19870727,8.3,18.4,1017.1,1681.8,104.3,19870828,70.1,2087.9,46.94,4220.82,1.5,160,1053.3,557.5
146,전주,1988,12.8,-10.9,19880124,37.8,19880707,7.9,18.8,1016.6,707.1,111.7,19880714,68.8,2147.5,48.16,4911.43,1.5,160,1194.2,654
146,전주,1989,13.4,-10.2,19890129,34.9,19890731,8.8,19,1016.5,1473.2,82.6,19890726,70.3,1924,43.25,4624.44,1.4,160,1105.6,603.2
146,전주,1990,13.9,-16,19900126,36.2,19900806,9.5,19.3,1016.6,1353.5,109.8,19900718,72,1749.4,39.33,4343.18,1.3,160,1008.6,533.9
146,전주,1991,13,-15.5,19910223,34.9,19910820,8.3,18.5,1016.4,1316.6,69,19910417,69.2,2009.4,45.18,4251.82,1.3,160,,
146,전주,1992,13.2,-8.8,19921225,34.6,19920726,8.5,18.7,1016.7,1109.1,171.6,19920717,70.8,2097.9,47.06,4292.65,1.3,160,,
146,전주,1993,12.5,-12.3,19930121,32.5,19930809,7.9,18,1016.8,1550.6,142.5,19930712,69.9,2011.2,45.21,4198.81,1.3,180,,
146,전주,1994,13.9,-13.3,19940124,38.2,19940723,9,19.7,1015.9,820.5,57.3,19940802,68.1,2336.1,52.52,4632.47,1.4,180,,
146,전주,1995,12.8,-10.8,19950130,35,19950814,8,18.6,1016,891.1,56.7,19950824,72,2350.2,52.84,4196.36,1.3,180,,
146,전주,1996,12.7,-11.2,19960202,36.3,19960812,7.9,18.4,1016.1,1216.8,139.9,19960617,74.5,2177.3,48.84,3896.48,1.2,160,,
146,전주,1997,13.5,-13.8,19970122,35.3,19970723,8.6,19.2,1015.9,1550.8,138.2,19970804,73.6,2161.8,48.59,4268.51,1.1,270,1097.5,585
146,전주,1998,14.6,-12.2,19980125,34.6,19980807,10.3,19.6,1015.6,1573,179.2,19980930,72.2,1881,42.29,3846.97,1.8,180,,
146,전주,1999,13.8,-10.8,19990204,34.8,19990810,9.3,19.2,1015.6,1365.5,118.5,19990923,70.6,2196.6,49.39,4066.03,1.8,180,,
146,전주,2000,13.6,-11,20000121,34.9,20000729,8.9,19.2,1016.5,1636.7,161,20000610,66.8,2039,45.73,4550.59,1.6,180,152.2,65.7
146,전주,2001,13.9,-12.5,20010116,36,20010802,9.2,19.5,1016.7,1019.4,97.5,20010624,65.8,2125.1,47.77,5011.09,1.7,160,1064.7,660.5
146,전주,2002,13.7,-9.7,20020103,36.2,20020727,8.9,19.2,1016.3,1130.1,97.5,20020416,66.8,1888.3,42.42,4815.82,2,160,940.4,546.4
146,전주,2003,13.4,-15.1,20030106,33.7,20030802,9,18.5,1016.8,1860.3,97,20030725,68.8,1731.3,38.9,4452.04,1.8,160,895.9,522.1
146,전주,2004,14.2,-13.1,20040122,36.5,20040731,9.1,20,1016.8,1457.9,171.5,20040818,63.3,2110.5,47.31,4905.77,2,160,1052.8,607.9
146,전주,2005,13.3,-15,20051218,35.8,20050805,8.6,18.7,1016.7,1390,249.5,20050803,64.2,2021.8,45.42,4906.84,2.1,160,989.1,582.6
